state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
AL,1/22/2021,38,73,27,113,15559,2729,113,0.795938042,117,12384,15559,0.226792986,113,2729,12033,0.180632777,113,2729,15108,57,113,12/31/2019
MI,8/20/2021,5,155,10,160,23300,1005,160,0.801373391,164,18672,23300,0.054174977,160,1005,18551,0.043527221,160,1005,23089,8,160,12/31/2019
IN,6/29/2021,10,119,0,130,17265,407,130,0.652186504,132,11260,17265,0.036505516,130,407,11149,0.023771976,130,407,17121,1,130,12/31/2019
ME,1/25/2021,2,27,1,36,3100,227,36,0.691290323,37,2143,3100,0.107736118,36,227,2107,0.074134553,36,227,3062,5,36,12/31/2019
MI,6/27/2021,3,157,8,160,22734,317,160,0.753101082,164,17121,22734,0.018643769,160,317,17003,0.014072002,160,317,22527,1,160,12/31/2019
UT,3/18/2021,0,58,0,58,6156,199,58,0.603963613,59,3718,6156,0.054267794,58,199,3667,0.032697995,58,199,6086,1,58,12/31/2019
ME,3/12/2020,0,0,0,2,141,1,2,0.737588652,2,104,141,0.009615385,2,1,104,0.007092199,2,1,141,0,2,12/31/2019
SD,8/7/2021,0,62,9,62,2818,57,62,0.559971611,65,1578,2818,0.036608863,62,57,1557,0.020719738,62,57,2751,0,62,12/31/2019
AZ,8/18/2021,33,89,12,122,17391,1974,122,0.732275315,125,12735,17391,0.157453936,122,1974,12537,0.1154116,122,1974,17104,20,122,12/31/2019
OR,10/3/2020,6,36,2,51,6317,289,60,0.712205161,59,4499,6317,0.06523702,58,289,4430,0.047007157,57,289,6148,2,54,12/31/2019
CO,5/27/2021,7,85,5,103,11688,547,103,0.698066393,105,8159,11688,0.067739938,103,547,8075,0.047232536,103,547,11581,6,103,12/31/2019
WV,8/9/2021,14,45,5,59,6429,306,59,0.706797325,63,4544,6429,0.068609865,59,306,4460,0.04912506,59,306,6229,1,59,12/31/2019
NH,9/28/2020,4,26,3,30,3249,42,30,0.65804863,30,2138,3249,0.019644528,30,42,2138,0.012927054,30,42,3249,1,30,12/31/2019
ND,11/5/2020,21,28,119,49,2391,475,49,0.777080719,50,1858,2391,0.258433079,49,475,1838,0.200845666,49,475,2365,2,49,12/31/2019
KS,3/17/2020,0,0,1,13,584,2,13,0.468978102,12,257,548,0.007782101,12,2,257,0.003424658,13,2,584,0,13,12/31/2019
NE,5/20/2021,9,91,2,100,4374,87,100,0.676040238,101,2957,4374,0.029804728,100,87,2919,0.020241973,100,87,4298,3,100,12/31/2019
MS,3/8/2020,0,0,0,1,29,0,1,0.275862069,1,8,29,0,1,0,8,0,1,0,29,0,1,12/31/2019
ME,7/25/2021,0,30,0,38,3309,67,38,0.692051979,39,2290,3309,0.029606717,38,67,2263,0.020433059,38,67,3279,0,38,12/31/2019
VI,2/23/2021,2,0,0,2,168,4,2,0.630952381,2,106,168,0.037735849,2,4,106,0.023809524,2,4,168,0,2,12/31/2019
DE,3/26/2021,0,14,0,15,3307,144,15,0.752343514,16,2488,3307,0.05834684,15,144,2468,0.043956044,15,144,3276,0,15,12/31/2019
CA,6/29/2021,52,290,39,372,61064,1338,370,0.755011136,380,46104,61064,0.029407886,370,1338,45498,0.022212262,370,1338,60237,12,370,12/31/2019
OK,3/4/2020,0,0,0,1,14,0,1,0,1,0,14,,1,0,0,0,1,0,14,0,1,12/31/2019
NE,3/6/2021,9,91,2,100,4352,157,100,0.645450368,101,2809,4352,0.056760665,100,157,2766,0.036750936,100,157,4272,1,100,12/31/2019
NJ,4/21/2021,8,84,83,95,24524,2074,95,0.721048769,96,17683,24524,0.117587028,95,2074,17638,0.084826176,95,2074,24450,18,95,12/31/2019
IA,1/26/2021,3,56,3,120,7918,424,120,0.626547108,122,4961,7918,0.086548275,120,424,4899,0.054261582,120,424,7814,6,120,12/31/2019
WI,3/10/2021,11,119,0,147,13948,297,147,0.62890737,150,8772,13948,0.034591195,147,297,8586,0.021694668,147,297,13690,5,147,12/31/2019
NC,4/4/2021,3,125,12,128,24000,961,128,0.696958333,132,16727,24000,0.058010383,128,961,16566,0.040514334,128,961,23720,18,128,12/31/2019
MN,3/23/2021,18,99,9,130,9643,415,130,0.739603858,131,7132,9643,0.059201141,130,415,7010,0.043855014,130,415,9463,0,130,12/31/2019
TX,4/17/2021,104,479,78,589,68582,3370,589,0.700402438,594,48035,68582,0.07096978,589,3370,47485,0.049688892,589,3370,67822,29,589,12/31/2019
PA,5/25/2021,27,178,20,205,29777,1573,205,0.826308896,211,24605,29777,0.064538629,205,1573,24373,0.053496123,205,1573,29404,14,205,12/31/2019
AL,11/2/2020,35,69,4,104,14910,1170,104,0.70878605,106,10568,14910,0.111833301,103,1170,10462,0.079392007,103,1170,14737,11,104,12/31/2019
OK,7/27/2021,31,95,3,136,9864,777,136,0.703264396,138,6937,9864,0.114214317,136,777,6803,0.080045328,136,777,9707,8,136,12/31/2019
AL,10/3/2020,34,76,7,110,15112,931,110,0.694613552,110,10497,15112,0.089254766,107,927,10386,0.062357056,107,927,14866,13,110,12/31/2019
VA,8/17/2021,16,65,34,98,17586,1237,98,0.744967588,101,13101,17586,0.095624613,98,1237,12936,0.07138735,98,1237,17328,10,98,12/31/2019
WI,6/15/2021,6,113,1,139,12667,165,138,0.654931836,141,8167,12470,0.020720834,138,165,7963,0.013512407,138,165,12211,0,139,12/31/2019
UT,8/30/2021,0,45,1,53,5630,485,53,0.580284192,54,3267,5630,0.150855365,53,485,3215,0.087167505,53,485,5564,1,53,12/31/2019
NC,8/10/2021,8,100,25,116,21860,2136,116,0.79053065,120,17281,21860,0.125043906,116,2136,17082,0.098916366,116,2136,21594,24,116,12/31/2019
CA,2/20/2021,113,291,38,409,64502,7366,409,0.75219373,417,48518,64502,0.153753027,409,7366,47908,0.115886851,409,7366,63562,172,409,12/31/2019
RI,3/15/2020,0,0,0,1,79,1,1,0.797468354,1,63,79,0.015873016,1,1,63,0.012658228,1,1,79,0,1,12/31/2019
DC,3/17/2021,0,13,6,13,3471,219,13,0.777873812,14,2700,3471,0.084328071,13,219,2597,0.065470852,13,219,3345,2,13,12/31/2019
WA,5/14/2021,6,96,10,102,14597,634,102,0.688634651,104,10052,14597,0.06368659,102,634,9955,0.043848122,102,634,14459,6,102,12/31/2019
MN,3/7/2021,19,107,6,139,9706,293,139,0.703585411,140,6829,9706,0.043614171,139,293,6718,0.030757926,139,293,9526,1,139,12/31/2019
AZ,7/6/2021,26,73,5,99,15304,557,99,0.655253528,102,10028,15304,0.056744091,99,557,9816,0.037106122,99,557,15011,5,99,12/31/2019
UT,10/1/2020,3,49,5,53,5332,253,54,0.588334584,53,3137,5332,0.080215599,54,253,3154,0.048365513,52,253,5231,4,51,12/31/2019
VT,3/15/2021,1,15,0,16,1301,28,16,0.601076095,17,782,1301,0.036697248,16,28,763,0.022151899,16,28,1264,0,16,12/31/2019
NV,4/3/2021,0,4,26,61,8842,270,61,0.682877177,63,6038,8842,0.045423957,61,270,5944,0.03111316,61,270,8678,6,61,12/31/2019
MT,4/9/2021,6,60,4,66,3191,45,66,0.653713569,67,2086,3191,0.021802326,66,45,2064,0.014231499,66,45,3162,0,66,12/31/2019
ME,6/1/2021,3,25,3,35,3044,122,35,0.680354796,36,2071,3044,0.059980334,35,122,2034,0.040585496,35,122,3006,1,35,12/31/2019
GA,3/3/2021,9,84,19,104,16036,1683,104,0.764592168,107,12261,16036,0.139517533,104,1683,12063,0.106918239,104,1683,15741,23,104,12/31/2019
NY,2/13/2021,6,192,281,198,53393,7603,198,0.727567284,207,38847,53393,0.197342124,198,7603,38527,0.14416003,198,7603,52740,112,198,12/31/2019
TN,3/8/2021,17,93,23,110,20179,786,110,0.655896856,131,12769,19468,0.065141721,110,786,12066,0.042979003,110,786,18288,15,110,12/31/2019
CO,7/11/2021,8,78,5,104,11643,321,104,0.670875204,106,7811,11643,0.041515779,104,321,7732,0.027816291,104,321,11540,1,104,12/31/2019
HI,3/16/2021,1,23,0,24,2488,36,24,0.715032154,24,1779,2488,0.020236088,24,36,1779,0.014469453,24,36,2488,0,24,12/31/2019
DC,7/4/2021,0,12,0,12,3429,52,13,0.720909886,14,2472,3429,0.021603656,13,52,2407,0.015691008,13,52,3314,0,12,12/31/2019
MT,7/21/2021,4,62,0,66,3161,74,66,0.666244859,67,2106,3161,0.035305344,66,74,2096,0.023604466,66,74,3135,0,66,12/31/2019
OH,6/4/2021,10,211,27,230,32449,1070,230,0.728404573,234,23636,32449,0.045669896,230,1070,23429,0.033300137,230,1070,32132,5,230,12/31/2019
TN,11/5/2020,21,100,19,121,20454,1687,121,0.676094379,130,13267,19623,0.131509199,121,1687,12828,0.089415381,121,1687,18867,62,121,12/31/2019
ND,1/27/2021,17,32,32,49,2437,128,49,0.671317193,50,1636,2437,0.079306072,49,128,1614,0.053090004,49,128,2411,0,49,12/31/2019
IA,10/28/2020,6,117,3,123,8276,649,123,0.657080715,125,5438,8276,0.121195145,123,649,5355,0.079349554,123,649,8179,9,123,12/31/2019
IL,2/5/2021,13,168,74,201,32233,2418,201,0.686532436,206,22129,32233,0.110441217,201,2418,21894,0.075889775,201,2418,31862,30,201,12/31/2019
WI,2/25/2021,12,117,2,147,13912,427,147,0.632763082,150,8803,13912,0.049490032,147,427,8628,0.031286635,147,427,13648,6,147,12/31/2019
TX,7/19/2021,96,356,59,476,59189,3733,476,0.751220666,481,44464,59189,0.085043855,476,3733,43895,0.06388404,476,3733,58434,36,476,12/31/2019
AL,1/4/2020,0,0,,0,6,,0,,,,,,,,,,,,,,0,12/31/2019
WY,4/29/2021,3,26,0,29,1732,31,29,0.475750577,31,824,1732,0.038318912,29,31,809,0.018343195,29,31,1690,0,29,12/31/2019
OH,3/29/2021,9,179,16,195,29343,1418,195,0.666734826,199,19564,29343,0.073111627,195,1418,19395,0.048857802,195,1418,29023,9,195,12/31/2019
SC,7/2/2021,19,63,0,85,10729,110,85,0.756081648,87,8112,10729,0.013722555,85,110,8016,0.010411737,85,110,10565,1,85,12/31/2019
ID,10/16/2020,2,47,2,47,3775,208,49,0.520794702,48,1966,3775,0.100628931,49,208,2067,0.055689424,47,208,3735,2,49,12/31/2019
MI,5/16/2021,13,147,12,160,22716,1897,160,0.761049481,164,17288,22716,0.110509146,160,1897,17166,0.084281144,160,1897,22508,36,160,12/31/2019
HI,10/20/2020,1,22,0,22,2209,95,23,0.713444998,20,1576,2209,0.050911376,22,81,1591,0.036668176,20,81,2209,0,22,12/31/2019
RI,2/28/2021,4,10,19,14,2243,202,14,0.876504681,15,1966,2243,0.104663212,14,202,1930,0.09330254,14,202,2165,1,14,12/31/2019
RI,9/25/2020,2,12,3,14,2283,94,14,0.885238721,15,2021,2283,0.047546788,14,94,1977,0.042766151,14,94,2198,1,14,12/31/2019
NV,10/12/2020,4,55,36,60,8587,518,60,0.691626878,62,5939,8587,0.088774636,60,518,5835,0.06156406,60,518,8414,2,59,12/31/2019
NE,8/7/2021,9,90,1,99,4628,195,99,0.666810717,100,3086,4628,0.064060447,99,195,3044,0.042650919,99,195,4572,3,99,12/31/2019
MS,3/17/2021,8,98,8,106,8632,369,106,0.64886469,108,5601,8632,0.066366906,106,369,5560,0.043112513,106,369,8559,5,106,12/31/2019
AZ,4/3/2021,26,97,6,123,17121,555,123,0.680158869,126,11645,17121,0.048408199,123,555,11465,0.033021955,123,555,16807,6,123,12/31/2019
NH,5/31/2021,2,25,0,28,2901,28,28,0.631506377,28,1832,2901,0.015283843,28,28,1832,0.009651844,28,28,2901,0,28,12/31/2019
KS,2/28/2020,0,0,0,1,36,0,1,,,,,,,,,,,,,0,1,12/31/2019
NH,3/31/2021,5,24,0,30,3131,92,30,0.731076333,30,2289,3131,0.040192224,30,92,2289,0.029383584,30,92,3131,0,30,12/31/2019
NM,3/23/2021,14,38,1,51,4240,127,51,0.701453419,52,2944,4197,0.044097222,51,127,2880,0.031066536,51,127,4088,3,51,12/31/2019
NV,6/17/2021,0,4,20,61,8842,273,61,0.725514589,63,6415,8842,0.043353978,61,273,6297,0.031484258,61,273,8671,2,61,12/31/2019
VT,6/14/2021,2,14,0,16,1296,1,16,0.675925926,17,876,1296,0.001173709,16,1,852,0.000794913,16,1,1258,0,16,12/31/2019
DE,7/9/2021,1,13,0,15,3428,40,15,0.761085181,16,2609,3428,0.015402387,15,40,2597,0.011778563,15,40,3396,0,15,12/31/2019
SC,10/19/2020,40,39,2,74,9917,739,79,0.803670465,81,7970,9917,0.093900889,79,739,7870,0.075748257,79,739,9756,15,79,12/31/2019
CO,10/31/2020,8,91,7,99,11477,795,99,0.670994162,99,7701,11477,0.104207629,99,795,7629,0.069599648,97,791,11365,6,99,12/31/2019
NM,6/8/2021,17,34,2,51,4213,109,51,0.713031094,52,3004,4213,0.0371127,51,109,2937,0.026572404,51,109,4102,1,51,12/31/2019
VI,8/22/2021,2,0,1,2,168,24,2,0.68452381,2,115,168,0.208695652,2,24,115,0.142857143,2,24,168,0,2,12/31/2019
MA,10/27/2020,3,76,24,79,19668,504,79,0.685021354,80,13473,19668,0.037704795,79,504,13367,0.025806452,79,504,19530,4,79,12/31/2019
AZ,9/25/2020,24,59,0,81,12480,684,96,0.668589744,84,8344,12480,0.068317937,91,673,9851,0.040275049,82,492,12216,6,89,12/31/2019
NM,5/14/2021,15,39,2,54,4438,157,54,0.688823795,55,3057,4438,0.052578701,54,157,2986,0.036250289,54,157,4331,1,54,12/31/2019
VI,8/18/2021,2,0,12,2,168,35,2,0.726190476,2,122,168,0.286885246,2,35,122,0.208333333,2,35,168,1,2,12/31/2019
AK,2/9/2021,1,21,0,22,1471,32,22,0.539768865,22,794,1471,0.040302267,22,32,794,0.021753909,22,32,1471,0,22,12/31/2019
FL,10/6/2020,16,231,72,248,77919,2716,257,0.582335502,260,45375,77919,0.06038105,256,2716,44981,0.035280058,254,2716,76984,44,256,12/31/2019
PA,9/6/2021,28,174,17,202,28554,2295,202,0.787980668,208,22500,28554,0.103011805,202,2295,22279,0.081440738,202,2295,28180,28,202,12/31/2019
GA,4/29/2021,24,132,6,167,23081,1486,167,0.783978164,170,18095,23081,0.083030676,167,1486,17897,0.065204037,167,1486,22790,12,167,12/31/2019
TX,5/26/2021,106,484,72,590,69024,2439,590,0.72686312,595,50171,69024,0.049233937,590,2439,49539,0.035731552,590,2439,68259,35,590,12/31/2019
CA,7/6/2021,55,286,13,373,60199,1500,371,0.724330969,381,43604,60199,0.034861021,371,1500,43028,0.025260605,371,1500,59381,9,371,12/31/2019
RI,7/16/2021,4,8,3,13,2266,64,13,0.888349515,14,2013,2266,0.032553408,13,64,1966,0.029077692,13,64,2201,0,13,12/31/2019
WI,2/1/2021,16,108,4,140,13356,779,140,0.581686134,143,7769,13356,0.102204146,140,779,7622,0.059515624,140,779,13089,14,140,12/31/2019
VT,9/30/2020,1,15,0,16,1300,4,16,0.630769231,17,820,1300,0.005,16,4,800,0.003187251,16,4,1255,0,16,12/31/2019
KS,6/22/2021,11,122,0,138,8467,152,138,0.606235975,141,5133,8467,0.029874214,138,152,5088,0.018116806,138,152,8390,0,138,12/31/2019
GA,4/24/2021,25,131,8,167,23043,1469,167,0.750943888,170,17304,23043,0.085720955,167,1469,17137,0.06456859,167,1469,22751,12,167,12/31/2019
MS,7/3/2021,5,101,1,106,8728,192,106,0.62167736,108,5426,8728,0.035634744,106,192,5388,0.022183709,106,192,8655,1,106,12/31/2019
MO,7/24/2021,28,86,10,135,16845,1747,135,0.822439893,139,13854,16845,0.128154343,135,1747,13632,0.105533406,135,1747,16554,33,135,12/31/2019
NH,8/11/2021,2,24,1,30,3120,64,30,0.745192308,30,2325,3120,0.027526882,30,64,2325,0.020512821,30,64,3120,1,30,12/31/2019
NC,10/1/2020,4,116,125,122,23142,1213,123,0.762855414,127,17654,23142,0.069568708,122,1213,17436,0.053159786,122,1213,22818,16,120,12/31/2019
AK,9/5/2021,1,22,2,24,1594,184,24,0.665621079,24,1061,1594,0.173421301,24,184,1061,0.115432873,24,184,1594,7,24,12/31/2019
NV,8/23/2021,0,2,31,58,8540,1248,58,0.807845433,60,6899,8540,0.184179457,58,1248,6776,0.148624509,58,1248,8397,22,58,12/31/2019
IA,2/26/2021,3,49,2,124,8084,206,124,0.638174171,126,5159,8084,0.040511308,124,206,5085,0.025808068,124,206,7982,3,124,12/31/2019
AZ,3/15/2021,22,78,16,100,15054,715,100,0.636973562,103,9589,15054,0.075934579,100,715,9416,0.048500882,100,715,14742,13,100,12/31/2019
DC,5/21/2021,0,12,1,12,3489,115,13,0.783892233,14,2735,3489,0.043379857,13,115,2651,0.03422619,13,115,3360,2,12,12/31/2019
FL,3/6/2021,11,243,78,263,58778,3841,263,0.758583143,269,44588,58778,0.087400733,263,3841,43947,0.066440643,263,3841,57811,59,263,12/31/2019
PR,10/23/2020,10,48,1,64,9950,466,64,0.589748744,65,5868,9950,0.081326353,64,466,5730,0.04773123,64,466,9763,28,64,12/31/2019
CT,11/5/2020,6,25,9,31,8287,543,31,0.716061301,32,5934,8287,0.092441267,31,543,5874,0.066179159,31,543,8205,1,31,12/31/2019
DC,5/16/2021,0,12,1,12,3471,140,13,0.743877845,14,2582,3471,0.056112224,13,140,2495,0.041891083,13,140,3342,2,12,12/31/2019
MN,7/19/2021,16,99,7,130,9668,149,130,0.753827058,131,7288,9668,0.020760764,130,149,7177,0.015704047,130,149,9488,1,130,12/31/2019
CA,7/25/2021,58,324,63,408,63369,3346,407,0.753475674,416,47747,63369,0.070980059,407,3346,47140,0.053482945,407,3346,62562,35,407,12/31/2019
NC,3/22/2021,2,113,13,115,22486,955,115,0.733656497,119,16497,22486,0.058553035,115,955,16310,0.043010268,115,955,22204,18,115,12/31/2019
TN,8/23/2021,21,87,28,108,19881,3018,108,0.695082816,130,13429,19320,0.238803608,108,3018,12638,0.166299317,108,3018,18148,51,108,12/31/2019
NJ,6/3/2021,7,79,38,95,24536,528,95,0.690577111,96,16944,24536,0.031242604,95,528,16900,0.021584498,95,528,24462,5,95,12/31/2019
IN,6/17/2021,11,153,0,165,19171,452,165,0.664545407,167,12740,19171,0.035819003,165,452,12619,0.023755716,165,452,19027,1,165,12/31/2019
MO,3/17/2021,22,98,13,136,17526,909,136,0.773593518,140,13558,17526,0.068023647,136,909,13363,0.052680382,136,909,17255,4,136,12/31/2019
WV,8/27/2021,21,38,5,59,6399,629,59,0.765432099,63,4898,6399,0.130742049,59,629,4811,0.101206758,59,629,6215,5,59,12/31/2019
GA,8/7/2021,30,116,12,166,22736,3664,166,0.801988037,169,18234,22736,0.203115472,166,3664,18039,0.163214397,166,3664,22449,51,166,12/31/2019
MA,4/11/2021,11,89,12,100,18964,675,100,0.816968994,101,15493,18964,0.04385395,100,675,15392,0.035847053,100,675,18830,5,100,12/31/2019
OK,4/30/2021,26,113,4,149,10797,280,149,0.705381124,151,7616,10797,0.037298521,149,280,7507,0.026338068,149,280,10631,0,149,12/31/2019
ID,7/7/2021,3,47,0,52,3769,82,52,0.625895463,53,2359,3769,0.035268817,52,82,2325,0.02198981,52,82,3729,1,52,12/31/2019
CA,2/10/2021,123,284,65,411,66169,11111,410,0.785413109,419,51970,66169,0.21647476,410,11111,51327,0.17041411,410,11111,65200,233,410,12/31/2019
MA,10/8/2020,5,97,7,102,19750,431,102,0.807037975,103,15939,19750,0.027225065,102,431,15831,0.0219685,102,431,19619,5,102,12/31/2019
GA,10/31/2020,34,109,18,164,22300,1781,164,0.754573991,169,16827,22300,0.107224564,164,1781,16610,0.08099136,164,1781,21990,13,166,12/31/2019
TN,5/12/2021,12,101,14,113,20140,780,113,0.698247228,131,13664,19569,0.060138782,113,780,12970,0.042059854,113,780,18545,7,113,12/31/2019
PA,6/30/2021,24,198,14,222,31822,547,222,0.825592357,228,26272,31822,0.020999693,222,547,26048,0.017397665,222,547,31441,6,222,12/31/2019
WV,7/28/2021,12,47,0,59,6435,162,59,0.770629371,63,4959,6435,0.033292232,59,162,4866,0.025978191,59,162,6236,2,59,12/31/2019
NJ,9/24/2020,10,68,40,78,19626,610,78,0.725211454,78,14233,19626,0.042921475,78,610,14212,0.031198854,77,610,19552,10,77,12/31/2019
GA,1/28/2021,42,114,82,167,23514,5143,167,0.823807094,170,19371,23514,0.26859202,167,5143,19148,0.221719262,167,5143,23196,89,167,12/31/2019
MI,3/12/2021,1,159,4,160,23198,1005,160,0.773256315,164,17938,23198,0.056425804,160,1005,17811,0.043712757,160,1005,22991,5,160,12/31/2019
RI,10/20/2020,2,11,7,14,2299,128,14,0.864288821,14,1987,2299,0.065473146,13,128,1955,0.057813911,14,128,2214,2,14,12/31/2019
DC,1/23/2021,0,12,4,13,3742,377,13,0.787814003,14,2948,3742,0.131818182,13,377,2860,0.10425885,13,377,3616,0,12,12/31/2019
KS,2/15/2021,14,123,3,138,8279,428,138,0.531948303,141,4404,8279,0.098052692,138,428,4365,0.052246094,138,428,8192,8,138,12/31/2019
CT,3/13/2021,4,35,15,39,8413,481,39,0.769404493,40,6473,8413,0.075003898,39,481,6413,0.057805552,39,481,8321,6,39,12/31/2019
ID,6/11/2021,3,42,0,52,3791,105,52,0.606172514,53,2298,3791,0.046316718,52,105,2267,0.027992535,52,105,3751,0,52,12/31/2019
IA,2/9/2021,2,45,1,120,7919,303,120,0.610809446,122,4837,7919,0.06349539,120,303,4772,0.038761673,120,303,7817,5,120,12/31/2019
AK,1/25/2021,1,21,0,22,1467,49,22,0.541240627,22,794,1467,0.061712846,22,49,794,0.0334015,22,49,1467,3,22,12/31/2019
AL,6/24/2021,28,78,1,115,15397,249,115,0.764629473,117,11773,15397,0.02132397,115,249,11677,0.016337511,115,249,15241,2,115,12/31/2019
TX,2/23/2020,0,0,0,1,766,0,2,0.8,2,32,40,0,2,0,32,0,2,0,40,0,1,12/31/2019
NC,7/13/2021,3,104,11,115,21873,473,115,0.759978055,119,16623,21873,0.028788801,115,473,16430,0.021898148,115,473,21600,9,115,12/31/2019
WI,3/1/2021,14,109,6,140,13334,365,140,0.577246138,143,7697,13334,0.048389235,140,365,7543,0.027918005,140,365,13074,2,140,12/31/2019
ND,5/17/2021,10,36,19,46,2032,95,46,0.671751969,47,1365,2032,0.070842655,46,95,1341,0.047357926,46,95,2006,0,46,12/31/2019
NC,3/14/2021,3,125,29,128,24152,1073,128,0.71791156,132,17339,24152,0.062591145,128,1073,17143,0.04496124,128,1073,23865,23,128,12/31/2019
CO,9/1/2021,16,70,5,104,11820,889,104,0.714805415,106,8449,11820,0.106288857,104,889,8364,0.075898574,104,889,11713,5,104,12/31/2019
OK,7/15/2021,32,106,2,148,10821,444,148,0.737732187,150,7983,10821,0.056603774,148,444,7844,0.041666667,148,444,10656,3,148,12/31/2019
TX,2/26/2021,121,467,97,588,71919,6682,588,0.745769546,593,53635,71919,0.126106403,588,6682,52987,0.093927467,588,6682,71140,90,588,12/31/2019
SD,7/26/2021,1,60,6,61,2621,31,61,0.565814575,64,1483,2621,0.021218344,61,31,1461,0.012137823,61,31,2554,0,61,12/31/2019
AS,8/25/2021,0,1,0,1,150,0,1,0.52,1,78,150,0,1,0,78,0,1,0,150,0,1,12/31/2019
CO,4/22/2021,6,86,5,103,11882,671,103,0.734640633,105,8729,11882,0.077581223,103,671,8649,0.056985138,103,671,11775,2,103,12/31/2019
PR,3/11/2021,1,1,1,66,9619,169,66,0.609314898,67,5861,9619,0.029442509,66,169,5740,0.017913928,66,169,9434,3,66,12/31/2019
AL,4/14/2021,29,77,5,115,15549,437,115,0.759791626,117,11814,15549,0.03726761,115,437,11726,0.028389528,115,437,15393,7,115,12/31/2019
NC,7/30/2021,1,34,25,129,23797,1181,129,0.776568475,133,18480,23797,0.064627339,129,1181,18274,0.050193378,129,1181,23529,15,129,12/31/2019
NJ,3/2/2020,0,0,,0,38,0,1,,,,,,,,,,,,,,0,12/31/2019
MD,5/1/2021,4,52,9,60,11992,1199,60,0.799866578,61,9592,11992,0.125694517,60,1199,9539,0.100858008,60,1199,11888,10,60,12/31/2019
MI,3/7/2021,1,159,5,160,23022,921,160,0.728390235,164,16769,23022,0.05530535,160,921,16653,0.040368179,160,921,22815,5,160,12/31/2019
UT,10/16/2020,5,51,3,56,5844,308,58,0.617043121,57,3606,5844,0.08531856,58,308,3610,0.053456382,56,307,5743,1,55,12/31/2019
CT,3/4/2021,4,34,24,38,8426,527,38,0.796463328,39,6711,8426,0.07930775,38,527,6645,0.063234941,38,527,8334,6,38,12/31/2019
CA,1/28/2021,154,251,97,410,68017,16569,409,0.803460899,418,54649,68017,0.306691347,409,16569,54025,0.247195202,409,16569,67028,336,409,12/31/2019
IN,6/19/2021,12,151,0,165,18772,444,165,0.624493927,167,11723,18772,0.038186979,165,444,11627,0.023835087,165,444,18628,4,165,12/31/2019
CA,4/4/2021,77,305,31,410,62918,2410,410,0.71461267,418,44962,62918,0.05420359,410,2410,44462,0.038822752,410,2410,62077,15,410,12/31/2019
MT,4/18/2021,5,60,3,66,3189,62,66,0.614612731,67,1960,3189,0.031876607,66,62,1945,0.019620253,66,62,3160,0,66,12/31/2019
SC,7/17/2021,20,62,1,85,11445,242,85,0.756138052,87,8654,11445,0.028267726,85,242,8561,0.021450098,85,242,11282,1,85,12/31/2019
GA,5/22/2021,25,130,8,167,22821,1039,167,0.775732878,170,17703,22821,0.05928335,167,1039,17526,0.04611015,167,1039,22533,12,167,12/31/2019
PR,10/14/2020,9,49,0,64,9743,384,64,0.550857026,65,5367,9743,0.073142857,64,384,5250,0.040167364,64,384,9560,6,64,12/31/2019
AL,1/17/2021,40,71,23,113,15572,3117,113,0.754944773,117,11756,15572,0.273013927,113,3117,11417,0.206123529,113,3117,15122,36,113,12/31/2019
NY,9/29/2020,7,123,28,155,43262,1401,165,0.708164971,162,30495,43062,0.04133815,156,1316,31835,0.030110861,155,1282,42576,21,151,12/31/2019
AL,5/13/2021,29,76,2,114,15563,456,114,0.758529846,117,11805,15563,0.038937751,114,456,11711,0.029621931,114,456,15394,3,114,12/31/2019
VI,2/11/2021,2,0,0,2,168,6,2,0.613095238,2,103,168,0.058252427,2,6,103,0.035714286,2,6,168,0,2,12/31/2019
MA,10/18/2020,6,96,14,102,20595,449,102,0.727021122,103,14973,20595,0.030160543,102,449,14887,0.021944187,102,449,20461,1,102,12/31/2019
AZ,4/22/2021,25,97,8,122,17248,600,122,0.707618275,125,12205,17248,0.050066756,122,600,11984,0.035429584,122,600,16935,3,122,12/31/2019
OR,8/14/2021,7,56,28,63,7106,823,63,0.746692936,65,5306,7106,0.158177974,63,823,5203,0.118827606,63,823,6926,6,63,12/31/2019
AL,10/22/2020,31,82,18,113,15604,1039,113,0.754550115,113,11774,15604,0.088974689,110,1037,11655,0.067394554,110,1037,15387,2,113,12/31/2019
KS,7/25/2021,11,132,3,147,8989,412,147,0.567360107,150,5100,8989,0.081551861,147,412,5052,0.046229803,147,412,8912,3,147,12/31/2019
LA,1/27/2021,46,170,14,216,14264,1483,219,0.720695457,222,10280,14264,0.146367943,219,1483,10132,0.105724674,219,1483,14027,19,216,12/31/2019
NJ,4/7/2021,7,85,76,95,24529,2459,95,0.717681112,96,17604,24529,0.140034169,95,2459,17560,0.100552034,95,2459,24455,19,95,12/31/2019
